ID,Handle,Command,Title,Tags,Status,Variant Inventory Item ID,Variant ID,Option1 Value,Variant SKU,Variant Barcode,Variant Weight,Variant Price,Variant Compare At Price,Variant Taxable,Variant Tax Code,Variant Inventory Policy,Variant Inventory Qty,Variant Metafield: my_fields.website_product_url [url],Variant Metafield: my_fields.model [single_line_text_field],Variant Metafield: my_fields.market_model_code [single_line_text_field],Variant Metafield: my_fields.model_group_code [single_line_text_field],Variant Metafield: my_fields.product_family_code [single_line_text_field],Variant Metafield: my_fields.product_group_code [single_line_text_field],Variant Metafield: my_fields.discount_reason [list.single_line_text_field],Variant Metafield: custom.msrp [money],Variant Metafield: my_fields.product_obsolete_date [date],Variant Metafield: variant.discontinue_status_reason [single_line_text_field],Variant Metafield: custom.variant_draft_reason [list.single_line_text_field],Variant Metafield: my_fields.variant_type [list.single_line_text_field],Variant Metafield: my_fields.source_sku [variant_reference],Variant Metafield: variant.website_product_type [single_line_text_field],Variant Metafield: variant.product_brand [single_line_text_field],Variant Metafield: custom.product_launch_date [single_line_text_field]
3739292598324,fluke-113-digital-multimeter,MERGE,Fluke 113 Digital Multimeter,"10 days, Fluke-Tools",Active,41394336596020,39300385603636,Fluke 113 Digital Multimeter,3078875,1 DAY,0,175.99,,TRUE,,deny,231,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-113,FLUKE-113,113,FL11X,DMMS,A,,,,,,,,,,
3739292631092,fluke-114-electrical-multimeter,MERGE,Fluke 114 Electrical Multimeter,"10 days, Fluke-Tools",Active,29953558183988,28896497369140,Default Title,2538783,1 DAY,0,216.99,,TRUE,,deny,4457,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-114,FLUKE-114,114,FL11X,DMMS,A,,,,,,,,,,
3739292696628,fluke-116-digital-hvac-multimeter,MERGE,Fluke 116 Digital HVAC Multimeter,45 days,Active,33799976386612,32218179043380,Fluke 116,2538803,1 DAY,501,237.59,263.99,TRUE,,deny,733,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-116,FLUKE-116,116,FL11X,DMMS,A,,,,,,,,,,
3739292762164,fluke-1ac-ii-voltalert-5-pack,MERGE,Fluke 1AC II VoltAlert™ 5-pack,,Active,29953558577204,28896497762356,Default Title,2433042,1 DAY,0,192.99,,TRUE,,deny,1176,https://www.fluke.com/en-us/product/electrical-testing/basic-testers/fluke-1ac-ii-a1-5pk,FLK-1AC-A1-II-5PK,1ACII5,VALRT,EPROD,A,,,,,,,,,,
3739292827700,fluke-2ac-non-contact-voltage-tester,MERGE,Fluke 2AC Non-Contact Voltage Tester,,Active,29953558872116,28896497958964,Default Title,3807928,1 DAY,0,41.99,,TRUE,,deny,6,https://www.fluke.com/en-us/product/electrical-testing/basic-testers/fluke-2ac,FLK2AC/90-1000V,2AC,VALRT,EPROD,A,,,,,,,,,,
3739292860468,fluke-324-rms-clamp-meter,MERGE,Fluke 324 RMS Clamp Meter,,Active,41397318484020,39303329841204,Fluke 324 RMS Clamp Meter,5065853,1 DAY,0,283.99,,TRUE,,deny,1371,https://www.fluke.com/en-us/product/electrical-testing/clamp-meters/fluke-324,FLUKE- 324,324,CLAMP,EPROD,A,,,,,,,,,,
3739292893236,fluke-325-true-rms-clamp-meter,MERGE,Fluke 325 True RMS Clamp Meter,45 days,Active,33799998046260,32218200571956,Fluke 325,5065866,1 DAY,0,414.99,,TRUE,,deny,509,https://www.fluke.com/en-us/product/electrical-testing/clamp-meters/fluke-325,FLUKE- 325,325,CLAMP,EPROD,A,,,,,,,,,,
3739292926004,fluke-381-remote-display-true-rms-ac-dc-clamp-meter-with-iflex,MERGE,Fluke 381 Remote Display True RMS AC/DC Clamp Meter with iFlex®,45 days,Active,33799958396980,32218160922676,Fluke 381,5065875,1 DAY,0,827.99,,TRUE,,deny,7,https://www.fluke.com/en-us/product/electrical-testing/clamp-meters/fluke-381,FLUKE- 381,381,CLAMP,EPROD,A,,,,,,,,,,
3739300626484,fluke-1000flt-fluorescent-light-tester,MERGE,Fluke 1000FLT Fluorescent Light Tester,,Draft,29953639120948,28896570638388,Default Title,4472387,1 DAY,0,299.99,,TRUE,,deny,0,https://www.fluke.com/en-us/product/electrical-testing/basic-testers/fluke-1000flt,FLUKE-1000FLT,1000FLT,ETEST,EPROD,A,,,2022-10-01,Liquidate,,,,,,
3739300692020,fluke-1ac-ii-non-contact-voltage-tester,MERGE,Fluke 1AC II Non-Contact Voltage Tester,,Active,29953639481396,28896570736692,Default Title,2432932,1 DAY,0,41.99,,TRUE,,deny,10756,https://www.fluke.com/en-us/product/electrical-testing/basic-testers/fluke-1ac-ii,FLUKE-1AC-A1-II,1ACII,VALRT,EPROD,A,,,,,,,,,,
3739300724788,fluke-1lac-ii-a-non-contact-voltage-tester,MERGE,Fluke 1LAC II A Non-Contact Voltage Tester,,Active,29953639546932,28896571064372,Default Title,2433021,1 DAY,0,41.99,,TRUE,,deny,35,https://www.fluke.com/en-us/product/electrical-testing/basic-testers/fluke-1lac-ii-a,FLUKE-1LAC-A-II,1LACII,VALRT,EPROD,A,,,,,,,,,,
3739300757556,fluke-353-true-rms-2000-a-clamp-meter,MERGE,Fluke 353 True RMS 2000 A Clamp Meter,"10 days, Fluke-Tools",Active,29953639645236,28896571162676,Default Title,2840252,1 DAY,0,1055.99,,TRUE,,deny,2,https://www.fluke.com/en-us/product/electrical-testing/clamp-meters/fluke-353,FLUKE-353,353,CLAMP,EPROD,A,,,,,,,,,,
3739300823092,fluke-355-true-rms-2000-a-clamp-meter,MERGE,Fluke 355 True RMS 2000 A Clamp Meter,"0 days, Fluke-Tools",Active,29953639841844,28896571228212,Default Title,2840265,1 DAY,0,1077.99,,TRUE,,deny,0,https://www.fluke.com/en-us/product/electrical-testing/clamp-meters/fluke-355,FLUKE-355,355,CLAMP,EPROD,A,,,,,,,,,,
3739300855860,fluke-365-detachable-jaw-true-rms-ac-dc-clamp-meter,MERGE,Fluke 365 Detachable Jaw True RMS AC/DC Clamp Meter,"0 days, Fluke-Tools",Active,41397320613940,39303331971124,Fluke 365 Detachable Jaw True RMS AC/DC Clamp Meter,3620217,1 DAY,0,337.99,,TRUE,,deny,109,https://www.fluke.com/en-us/product/electrical-testing/clamp-meters/fluke-365,FLUKE-365,365,CLAMP,EPROD,A,,,,,,,,,,
3739300888628,fluke-369-fc-leakage-current-clamp-meter,MERGE,Fluke 369 FC Leakage Current Clamp Meter,"0 days, Fluke-Tools",Active,29953639907380,28896571424820,Default Title,4709934,1 DAY,0,1023.99,,TRUE,,deny,62,https://www.fluke.com/en-us/product/electrical-testing/clamp-meters/fluke-369-fc,FLUKE-369 FC,369FC,CLAMP,EPROD,A,,,,,,,,,,
3739300921396,fluke-373-true-rms-ac-clamp-meter,MERGE,Fluke 373 True-RMS AC Clamp Meter,5 days,Active,41397320679476,39303332036660,Fluke 373 True-RMS AC Clamp Meter,3780249,1 DAY,0,317.99,,TRUE,,deny,249,https://www.fluke.com/en-us/product/electrical-testing/clamp-meters/fluke-373,FLUKE-373,373,CLAMP,EPROD,A,,,,,,,,,,
